"Record_Count","Account","Rule_Name"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","49949","mxw_cmx@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","15","mxw_bosch@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","22177","mxw_bosch@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","2868","mxw_bosch@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","38","mxw_roundys@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","7411","mxw_roundys@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","1404","mxw_roundys@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","16","mxw_aaa@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","3583","mxw_aaa@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","2017","mxw_aaa@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","96","mxw_aiy@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","5217","mxw_aiy@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","2400","mxw_aiy@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","110","mxw_cgb@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","3127","mxw_cgb@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","1612","mxw_cgb@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","64197","mxw_chi@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","94","mxw_chi@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","174811","mxw_chi@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","49","mxw_crw@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","4744","mxw_crw@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","3237","mxw_crw@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","5839","mxw_wfi@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","5584","mxw_wfi@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","6220","mxw_wfi@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","0","mxw_goldmaster@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","1","mxw_goldmaster@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","0","mxw_goldmaster@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","22","mxw_hmh@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","4543","mxw_hmh@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","1984","mxw_hmh@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","116","mxw_integration@preventure.com.uat1"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","864","mxw_integration@preventure.com.uat1"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","34","mxw_integration@preventure.com.uat1"
"Account","Rule_Name","Record_Count"
"mxw_deployment+umaster@preventure.com","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","0"
"Account","Rule_Name","Record_Count"
"mxw_deployment+umaster@preventure.com","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","1"
"Account","Rule_Name","Record_Count"
"mxw_deployment+umaster@preventure.com","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","19"
"Account","Rule_Name","Record_Count"
"mxw_cmx@preventure.com","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","6904"
"Account","Rule_Name","Record_Count"
"mxw_cmx@preventure.com","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","21904"
"Account","Rule_Name","Record_Count"
"mxw_cmx@preventure.com","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","49949"
"Account","Rule_Name","Record_Count"
"mxw_bosch@preventure.com","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","15"
"Account","Rule_Name","Record_Count"
"mxw_bosch@preventure.com","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","22177"
"Account","Rule_Name","Record_Count"
"mxw_bosch@preventure.com","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","2868"
"Account","Rule_Name","Record_Count"
"mxw_roundys@preventure.com","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","38"
"Account","Rule_Name","Record_Count"
"mxw_roundys@preventure.com","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","7411"
"Account","Rule_Name","Record_Count"
"mxw_roundys@preventure.com","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","1404"
"Account","Rule_Name","Record_Count"
"mxw_aaa@preventure.com","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","16"
"Account","Rule_Name","Record_Count"
"mxw_aaa@preventure.com","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","3583"
"Account","Rule_Name","Record_Count"
"mxw_aaa@preventure.com","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","2017"
"Account","Rule_Name","Record_Count"
"mxw_aiy@preventure.com","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","96"
"Account","Rule_Name","Record_Count"
"mxw_aiy@preventure.com","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","5217"
"Account","Rule_Name","Record_Count"
"mxw_aiy@preventure.com","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","2400"
"Account","Rule_Name","Record_Count"
"mxw_cgb@preventure.com","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","110"
"Account","Rule_Name","Record_Count"
"mxw_cgb@preventure.com","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","3127"
"Account","Rule_Name","Record_Count"
"mxw_cgb@preventure.com","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","1612"
"Account","Rule_Name","Record_Count"
"mxw_chi@preventure.com","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","64197"
"Account","Rule_Name","Record_Count"
"mxw_chi@preventure.com","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","94"
"Account","Rule_Name","Record_Count"
"mxw_chi@preventure.com","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","174811"
"Account","Rule_Name","Record_Count"
"mxw_crw@preventure.com","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","49"
"Account","Rule_Name","Record_Count"
"mxw_crw@preventure.com","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","4744"
"Account","Rule_Name","Record_Count"
"mxw_crw@preventure.com","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","3237"
"Account","Rule_Name","Record_Count"
"mxw_wfi@preventure.com","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","5839"
"Account","Rule_Name","Record_Count"
"mxw_wfi@preventure.com","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","5584"
"Account","Rule_Name","Record_Count"
"mxw_wfi@preventure.com","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","6220"
"Account","Rule_Name","Record_Count"
"mxw_goldmaster@preventure.com","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","0"
"Account","Rule_Name","Record_Count"
"mxw_goldmaster@preventure.com","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","1"
"Account","Rule_Name","Record_Count"
"mxw_goldmaster@preventure.com","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","0"
"Account","Rule_Name","Record_Count"
"mxw_hmh@preventure.com","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","22"
"Account","Rule_Name","Record_Count"
"mxw_hmh@preventure.com","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","4543"
"Account","Rule_Name","Record_Count"
"mxw_hmh@preventure.com","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","1984"
"Account","Rule_Name","Record_Count"
"mxw_integration@preventure.com.uat1","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","116"
"Account","Rule_Name","Record_Count"
"mxw_integration@preventure.com.uat1","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","864"
"Account","Rule_Name","Record_Count"
"mxw_integration@preventure.com.uat1","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","34"
